"","text","possibly_sensitive","conversation_id","id","in_reply_to_user_id","author_id","created_at.x","lang","reply_settings","created_at.y","description","name","protected","location","username","profile_image_url","verified","pinned_tweet_id","url","public_metrics.x_retweet_count","public_metrics.x_reply_count","public_metrics.x_like_count","public_metrics.x_quote_count","public_metrics.x_impression_count","geo_place_id","public_metrics.y_followers_count","public_metrics.y_following_count","public_metrics.y_tweet_count","public_metrics.y_listed_count","text_with_display_links"
"147","#redtide has made it to my area of #florida along the #gulfofmexico In certain hues the water almost looks blood red, in others a rust color. This photo is completely untouched and direct from my iPhone 11. . https   www instagram com p CRcTERAl7iX",FALSE,"1416499083439607809","1416499083439607809",NA,"1141169843028316163",2021-07-17 20:44:33,"en","everyone","2019-06-19T02:24:27.000Z","My hope is that my art will be an inspiration to others to travel, experience nature, and get out of your comfort zone.","WhereJoeGoes",FALSE,NA,"WhereJoeGoes1","https://pbs.twimg.com/profile_images/1141169993348014083/BLle4_zG_normal.jpg",FALSE,NA,"https://t.co/j5HbExoc0i",0,0,0,0,0,"4ad609c5e10fc033",276,243,3776,1,"#redtide has made it to my area of #florida along the #gulfofmexico In certain hues the water almost looks blood red, in others a rust color. This photo is completely untouched and direct from my iPhone 11. https://t.co/l8PtsiwNM0"
"148","@GovRonDeSantis @GregAbbott_TX Rising Covid rates, red tide… perhaps you could prioritize your to do list. ",FALSE,"1416477576097374212","1416510096553791489","1058807868","322683807",2021-07-17 21:28:19,"en","everyone","2011-06-23T15:41:08.000Z","3rd grade public school teacher, mom of teenagers, UF grad, advertising and marketing manager in former life","Mary",FALSE,NA,"mbmbgators","https://pbs.twimg.com/profile_images/987139036375642112/5ATBCUSS_normal.jpg",FALSE,NA,NA,0,0,3,0,0,"a1261e1ada14bf62",62,613,384,0,"@GovRonDeSantis @GregAbbott_TX Rising Covid rates, red tide… perhaps you could prioritize your to do list"
"149","this red tide thing in the tampa bay area is lowkey very serious &amp; everyone just acts like it isn’t anything😂. ",FALSE,"1416772983859912707","1416772983859912707",NA,"1428165800",2021-07-18 14:52:56,"en","everyone","2013-05-14T15:44:10.000Z","UF Alum,Graduate Student, & Aspiring Sports agent📝🏈🏀 Go Gators, Falcons, Hawks & Braves!","Devon",FALSE,"Tampa, FL","DevonTalton","https://pbs.twimg.com/profile_images/1613609901078581249/5PlWz9gK_normal.jpg",FALSE,"1609035822761922562",NA,1,0,4,0,0,"c5a8a3c8523b835e",777,768,27181,6,"this red tide thing in the tampa bay area is lowkey very serious &amp; everyone just acts like it isn’t anything😂"
"150","Red Tide up and down the Gulf Coast. No Bueno. Even the ocean got COVID . https   twitter com PapaVazGaming status 1417195553327288323 photo 1",FALSE,"1417195553327288323","1417195553327288323",NA,"140580132",2021-07-19 18:52:04,"en","everyone","2010-05-05T21:51:56.000Z","Baseball junkie, UNC Charlotte alum, former Atlanta Braves minor leaguer, Twitch Streamer OG Network aka PapaVaz  Business inquiries at papavaz@yahoo.com","PapaVaz",FALSE,"Charlotte, NC","PapaVazz","https://pbs.twimg.com/profile_images/1581754434656370688/dU0Q-njQ_normal.jpg",FALSE,NA,"https://t.co/W00t8DDe3y",0,1,9,0,0,"700eeb799fa55a4b",1345,168,14536,13,"Red Tide up and down the Gulf Coast. No Bueno. Even the ocean got COVID https://t.co/AVdiqUYqqO"
"151","@DrewStubbmuffin In Indian Rocks now, is the red tide as bad up that way as it is down here?. ",FALSE,"1417224150628896773","1417230306248171528","378708514","21766841",2021-07-19 21:10:10,"en","everyone","2009-02-24T16:13:51.000Z","Cincinnati Bengals - Cincinnati Reds - The Ohio State University Xbox - JasonD2k7 #WhoDey #LetsGoRedlegs #LetsGoBucks","Jason Dickess",FALSE,"Ohio","JasonD2k14","https://pbs.twimg.com/profile_images/1583634030234320897/hcoRxAlA_normal.jpg",FALSE,NA,NA,0,0,0,0,0,"07ea8d4bc3d8ec34",1794,4330,76893,33,"@DrewStubbmuffin In Indian Rocks now, is the red tide as bad up that way as it is down here?"
"152","@PapaVazGaming @boutotTTV was talking bout this few days ago on stream. I even seen a video of a 500 lb grouper being taken off the beach cause it washed up on shore.. ",FALSE,"1417195553327288323","1417240302448955395","140580132","3219661950",2021-07-19 21:49:53,"en","everyone","2015-05-18T20:31:58.000Z","New York Sports lifelong fan.

Family man, gamer, sports fanatic NYC and Twitch Affiliate. 

#SpreadTheNews

 🗽⚾️🏈🏀🏒🎮","YankeesRings27 🍎🗽🎮",FALSE,"United States","YankeesRings_27","https://pbs.twimg.com/profile_images/1572277024714014727/h1hsJCLp_normal.jpg",FALSE,NA,"https://t.co/gUMBvUMYiF",0,2,2,0,0,NA,323,1050,7596,4,"@PapaVazGaming @boutotTTV was talking bout this few days ago on stream. I even seen a video of a 500 lb grouper being taken off the beach cause it washed up on shore."
"153","Seagrass suffers as red tide kills fish faster than crews can remove them . https   www fox13news com news seagrass suffers red tide kills fish faster than crews can remove them",FALSE,"1417241925892067336","1417241925892067336",NA,"35778781",2021-07-19 21:56:20,"en","everyone","2009-04-27T16:03:56.000Z","Intelligent Beachbum-Where the Surf Meets the Turf-(Retired from Insurance Business)","RickParzych",FALSE,"Clearwater Beach,Florida","RickParzych","https://pbs.twimg.com/profile_images/475789505329631232/xMcosoN0_normal.jpeg",FALSE,NA,NA,0,0,1,0,0,"700eeb799fa55a4b",661,2036,4350,7,"Seagrass suffers as red tide kills fish faster than crews can remove them https://t.co/4zL84CqD1Q"
"154","DeSantis: No plan to declare state of emergency for red tide . https   www fox13news com news desantis no plan to declare state of emergency for red tide",FALSE,"1417242263957168130","1417242263957168130",NA,"35778781",2021-07-19 21:57:41,"en","everyone","2009-04-27T16:03:56.000Z","Intelligent Beachbum-Where the Surf Meets the Turf-(Retired from Insurance Business)","RickParzych",FALSE,"Clearwater Beach,Florida","RickParzych","https://pbs.twimg.com/profile_images/475789505329631232/xMcosoN0_normal.jpeg",FALSE,NA,NA,0,0,0,0,0,"700eeb799fa55a4b",661,2036,4350,7,"DeSantis: No plan to declare state of emergency for red tide https://t.co/XK6UxIYtfu"
"155","@YankeesRings_27 @PapaVazGaming Yeah! We were literally saying we hoped it wouldn’t effect your trip 🤦🏻‍♀️. ",FALSE,"1417195553327288323","1417242969619537923","3219661950","1367491427475861505",2021-07-19 22:00:29,"en","everyone","2021-03-04T15:05:46.000Z","USMC Veteran, Coach, Baseball Lover, She/Her","jackie boutot",FALSE,NA,"its_boo_tot","https://pbs.twimg.com/profile_images/1473654222814121984/Jm_Bi8kx_normal.jpg",FALSE,NA,"https://t.co/bvkEbGhuAh",0,0,2,0,0,NA,224,635,2566,2,"@YankeesRings_27 @PapaVazGaming Yeah! We were literally saying we hoped it wouldn’t effect your trip 🤦🏻‍♀️"
"156","@YankeesRings_27 @boutotTTV I went in the ocean and it was splendid . https   twitter com PapaVazGaming status 1417325312925372416 photo 1",FALSE,"1417195553327288323","1417325312925372416","3219661950","140580132",2021-07-20 03:27:41,"en","everyone","2010-05-05T21:51:56.000Z","Baseball junkie, UNC Charlotte alum, former Atlanta Braves minor leaguer, Twitch Streamer OG Network aka PapaVaz  Business inquiries at papavaz@yahoo.com","PapaVaz",FALSE,"Charlotte, NC","PapaVazz","https://pbs.twimg.com/profile_images/1581754434656370688/dU0Q-njQ_normal.jpg",FALSE,NA,"https://t.co/W00t8DDe3y",0,0,4,0,0,"700eeb799fa55a4b",1343,168,14539,13,"@YankeesRings_27 @boutotTTV I went in the ocean and it was splendid https://t.co/DxwhXkOOPR"
"157","Region Pinellas Biologists Closely Monitoring Dolphins As Red Tide Bloom Persists ☝ 😐 
 . https   www abcactionnews com news region pinellas biologists closely monitoring dolphins as red tide bloom persists",FALSE,"1417926248781787139","1417926248781787139",NA,"1347935690332495877",2021-07-21 19:15:36,"en","everyone","2021-01-09T15:58:46.000Z","just heap of US events","heapevents.info",FALSE,NA,"heapevents","https://pbs.twimg.com/profile_images/1347936111243497474/bHvyzpdf_normal.jpg",FALSE,NA,"https://t.co/WogSnRIQ8f",0,0,0,0,0,"700eeb799fa55a4b",17,25,31748,1,"Region Pinellas Biologists Closely Monitoring Dolphins As Red Tide Bloom Persists ☝ 😐 
 https://t.co/YH1hAUvgUa"
"158","Good morning from Lolie Grace!
Hoping to get out for a kayak paddle this morning and not to get turned around by red tide. After that, I have a little time for #amwriting before my day job. Wishing my #5amwritersclub  friends a productive morning ✍️📚 . https   twitter com KipAuthor status 1418134863350321155 photo 1",FALSE,"1418134863350321155","1418134863350321155",NA,"915202580883615744",2021-07-22 09:04:33,"en","everyone","2017-10-03T13:11:13.000Z","Author of Wendall's Lullaby & Delphys Rising and the space opera Saga of the Cerulean Universe. Paddler. Mountain biker. Runner. Ocean-lover. Cat dad. Hooband.","Kip Koelsch Author",FALSE,"Dunedin, FL","KipAuthor","https://pbs.twimg.com/profile_images/1572381145278414849/hw49gKRE_normal.jpg",FALSE,"1158851246612238339","https://t.co/SvlLnD8r7B",0,2,19,0,0,"608a091166e5ddb0",6333,6944,31865,85,"Good morning from Lolie Grace!
Hoping to get out for a kayak paddle this morning and not to get turned around by red tide. After that, I have a little time for #amwriting before my day job. Wishing my #5amwritersclub  friends a productive morning ✍️📚 https://t.co/0dgRXlcsoi"
"159","@KipAuthor Ah Lolie Grace, you are such a sweet kitty! :-)  💕. ",FALSE,"1418134863350321155","1418142120632799232","915202580883615744","739566820336799744",2021-07-22 09:33:24,"en","everyone","2016-06-05T21:17:25.000Z","Award-winning author of 8 YA novels. I am a 3 a.m. writer in the #5amwritersclub and a serious Diet Dew addict.","Khristina Chess",FALSE,"www.khristinachess.com","KhristinaChess","https://pbs.twimg.com/profile_images/791783154117910528/z30Xkx7C_normal.jpg",FALSE,"1587727852325294082","https://t.co/ODJEYjs9Ac",0,0,1,0,0,NA,5242,4884,8538,73,"@KipAuthor Ah Lolie Grace, you are such a sweet kitty! :-)  💕"
"160","@KipAuthor Good morning Kip and Lolie Grace!. ",FALSE,"1418134863350321155","1418150668737654787","915202580883615744","1124697740733296642",2021-07-22 10:07:22,"en","everyone","2019-05-04T15:30:12.000Z","Romance Author. My storm chaser story THRILL OF THE CHASE out now! Kind of like TWISTER, only with more 🔥😍🌪 #5amwritersclub #amwritingromance","Melody Loomis",FALSE,"North Carolina, USA","loomis_melody","https://pbs.twimg.com/profile_images/1303825786047262721/Wz90vaTP_normal.jpg",FALSE,"1573248275653840896","https://t.co/QzwKvxECmp",0,0,1,0,0,NA,1680,1089,8677,24,"@KipAuthor Good morning Kip and Lolie Grace!"
"161","@redsgirlterry Red tide has been horrible this week, first time we’ve been on the beach in front of our hotel without dead fish everywhere…and it happens on our last night. 🤷🏻‍♂️. ",FALSE,"1419097393841250307","1419098783384838146","2455706576","21766841",2021-07-25 00:54:50,"en","everyone","2009-02-24T16:13:51.000Z","Cincinnati Bengals - Cincinnati Reds - The Ohio State University Xbox - JasonD2k7 #WhoDey #LetsGoRedlegs #LetsGoBucks","Jason Dickess",FALSE,"Ohio","JasonD2k14","https://pbs.twimg.com/profile_images/1583634030234320897/hcoRxAlA_normal.jpg",FALSE,NA,NA,0,1,0,0,0,"07ea8d4bc3d8ec34",1794,4330,76893,33,"@redsgirlterry Red tide has been horrible this week, first time we’ve been on the beach in front of our hotel without dead fish everywhere…and it happens on our last night. 🤷🏻‍♂️"
"162","@jeffvandermeer No joke with all the red tide in SW Florida ,exasperated by piney point.This shouldn't be happening .Tax payers bailing out Corporations .destroying the coastal habitat.along with destroying other economies .Fishing ,restaurants&amp; hotels on the beach.. ",FALSE,"1419687451237437441","1419765974891474947","14414706","804193158330544128",2021-07-26 21:06:01,"en","everyone","2016-12-01T05:19:24.000Z","No dark triad personalities,narcicsist,bully's manipulative liers thieves fraudsters.Gang stalkers harassers drug dealers https://t.co/Ai5dTh7i5X Scientology fair game .","spwog",FALSE,"Clearwater, FL","torchured2","https://pbs.twimg.com/profile_images/1553098820115959808/Uerc_zIl_normal.jpg",FALSE,"1283490569017274375",NA,0,0,0,0,0,"700eeb799fa55a4b",84,273,17416,1,"@jeffvandermeer No joke with all the red tide in SW Florida ,exasperated by piney point.This shouldn't be happening .Tax payers bailing out Corporations .destroying the coastal habitat.along with destroying other economies .Fishing ,restaurants&amp; hotels on the beach."
"163","That’s not a filter the water was really green 😂😂. Like, yassssss red tide yasssssssss . https   twitter com IssaB0ss status 1419779090387816451 photo 1",FALSE,"1419779090387816451","1419779090387816451",NA,"348267617",2021-07-26 21:58:08,"en","everyone","2011-08-04T04:23:35.000Z","Made in 🇵🇷🇩🇴                             SnapChat: iongiveaphuck Instagram: Iamaqu33n","Jenn",FALSE,"United States","IssaB0ss","https://pbs.twimg.com/profile_images/1575116471398809600/P26TXhvF_normal.jpg",FALSE,"1571303811276324864",NA,0,3,50,1,0,"700eeb799fa55a4b",13591,5807,43576,21,"That’s not a filter the water was really green 😂😂. Like, yassssss red tide yasssssssss https://t.co/jDMT5k9V3z"
"164","@IssaB0ss Stop peeing in the water. ",FALSE,"1419779090387816451","1419783064067223553","348267617","39133712",2021-07-26 22:13:55,"en","everyone","2009-05-10T23:22:53.000Z","@orlandomagic | @ravens #ravensflock","J-Bo Browne",FALSE,"Minneapolis, MN","Jbo321612","https://pbs.twimg.com/profile_images/1587168165636743170/bIYgqyOR_normal.jpg",FALSE,NA,NA,0,1,0,0,0,NA,1902,1916,74421,11,"@IssaB0ss Stop peeing in the water"
"165","@Jbo321612 Who else is gon sweeten it up. ",FALSE,"1419779090387816451","1419783314404151304","39133712","348267617",2021-07-26 22:14:55,"en","everyone","2011-08-04T04:23:35.000Z","Made in 🇵🇷🇩🇴                             SnapChat: iongiveaphuck Instagram: Iamaqu33n","Jenn",FALSE,"United States","IssaB0ss","https://pbs.twimg.com/profile_images/1575116471398809600/P26TXhvF_normal.jpg",FALSE,"1571303811276324864",NA,0,1,0,0,0,NA,13590,5808,43586,21,"@Jbo321612 Who else is gon sweeten it up"
"166","@IssaB0ss Lmao stop it. ",FALSE,"1419779090387816451","1419783567127846914","348267617","39133712",2021-07-26 22:15:55,"en","everyone","2009-05-10T23:22:53.000Z","@orlandomagic | @ravens #ravensflock","J-Bo Browne",FALSE,"Minneapolis, MN","Jbo321612","https://pbs.twimg.com/profile_images/1587168165636743170/bIYgqyOR_normal.jpg",FALSE,NA,NA,0,0,0,0,0,NA,1902,1916,74421,11,"@IssaB0ss Lmao stop it"
"167","This red tide is just so bad omg. ",FALSE,"1420127643740033032","1420127643740033032",NA,"2762605020",2021-07-27 21:03:09,"en","everyone","2014-08-24T14:28:59.000Z","Southerner. Med Student. Investor","D 🧠",FALSE,"New York City, USA","Derrekll","https://pbs.twimg.com/profile_images/1609609264481329154/3xwTe2j7_normal.jpg",FALSE,"1594494333549514753",NA,0,0,0,0,0,"700eeb799fa55a4b",809,720,127808,14,"This red tide is just so bad omg"
"168","@GinaGoesOutside Hey if nothing goes wrong its a good day .Red tide has damped some of my excursions with my dog recently on the SW  highlight of the day My first Pfizer vac shot today.. http   Fl My",FALSE,"1420465660300304386","1420502317393121281","720322341725683713","804193158330544128",2021-07-28 21:51:58,"en","everyone","2016-12-01T05:19:24.000Z","No dark triad personalities,narcicsist,bully's manipulative liers thieves fraudsters.Gang stalkers harassers drug dealers https://t.co/Ai5dTh7i5X Scientology fair game .","spwog",FALSE,"Clearwater, FL","torchured2","https://pbs.twimg.com/profile_images/1553098820115959808/Uerc_zIl_normal.jpg",FALSE,"1283490569017274375",NA,0,1,1,0,0,"700eeb799fa55a4b",84,273,17416,1,"@GinaGoesOutside Hey if nothing goes wrong its a good day .Red tide has damped some of my excursions with my dog recently on the SW https://t.co/r2iX8yu77k highlight of the day My first Pfizer vac shot today."
"169","Walking on North Clearwater Brach this morning - scene was too sad for a photo too many dead fish and other creatures -Red Tide casualties -air quality isn’t great -beach day will be looking out the slider. ",FALSE,"1421464984261902341","1421464984261902341",NA,"1927507592",2021-07-31 13:37:16,"en","everyone","2013-10-02T16:56:00.000Z","Director Emeritus USF Vinik Grad Program, NBA TMBO alum, author, consultant, & Loyal follower of OK State athletics & Pittsburgh teams","Bill Sutton",FALSE,"Florida, USA","Sutton_ImpactU","https://pbs.twimg.com/profile_images/422526902667321344/yul56lEJ_normal.jpeg",FALSE,"1575525079467036672",NA,0,0,1,0,0,"07d9eebe1b888005",5999,3184,14412,79,"Walking on North Clearwater Brach this morning - scene was too sad for a photo too many dead fish and other creatures -Red Tide casualties -air quality isn’t great -beach day will be looking out the slider"
"170","Red tide took away our tarpon season, but not all of our redfish… suck it piney point 🎣
#redfish #pollution #floridafishing #tampabay #florida 
📸 @jimmienitrez @ Clearwater Beach . https   www instagram com p CSAs0uareyy",FALSE,"1421622278819880963","1421622278819880963",NA,"38379619",2021-08-01 00:02:18,"en","everyone","2009-05-07T05:47:00.000Z","• Captain|Photographer • Former Professional Baseball Player •","Frank Viola III",FALSE,NA,"FrankViola3","https://pbs.twimg.com/profile_images/1360758364519731200/rQWXNOrD_normal.jpg",TRUE,"557600851628683267","https://t.co/Iz3BqhiStf",2,0,3,0,0,"700eeb799fa55a4b",4438,190,6309,46,"Red tide took away our tarpon season, but not all of our redfish… suck it piney point 🎣
#redfish #pollution #floridafishing #tampabay #florida 
📸 @jimmienitrez @ Clearwater Beach https://t.co/dHAzCU6Q52"
